,lib_size,anchovy:np_sst,np_sst:anchovy
0,10,0.09574458748102188,-0.02706310898065567
1,15,0.10783600807189941,-0.041210345923900604
2,20,0.10118506103754044,-0.05853084474802017
3,25,0.09309457987546921,-0.04952315241098404
4,30,0.12370313704013824,-0.05098465830087662
5,35,0.13242949545383453,-0.04085954651236534
6,40,0.16576656699180603,-0.06170205771923065
7,45,0.16963966190814972,-0.07508012652397156
8,50,0.1670447289943695,-0.09350968152284622
9,55,0.1828005611896515,-0.08378154039382935
10,60,0.1954580694437027,-0.07167460769414902
11,65,0.18976445496082306,-0.07751181721687317
12,70,0.1968206763267517,-0.0809578225016594
13,75,0.19218531250953674,-0.0739303007721901
